release,tag_name,commit_id,date,days_since_last_release,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
7994377,mbed-os-5.3.3,34c1facf42a174f47fdf9002cd8c6bf10ac41744,2017-01-16 15:54:14,11,23,93,2,10,1,37,38,0,0,101,626,16,13
7994400,mbed-os-5.3.4,269f58d75b752a4e67a6a2d8c5c698635ffd6752,2017-01-31 17:45:03,15,29,176,4,15,3,44,36,0,0,114,771,16,6
7994414,mbed-os-5.3.5,bcf7085d85b2811b5d68bdda192c754eadfb8f88,2017-02-14 14:54:15,13,29,148,1,13,0,55,44,0,0,85,750,10,13
7994436,mbed-os-5.3.6,5faf4b26c5954d15c7c1cccac6498e0c690ad101,2017-02-27 18:51:58,13,32,170,5,14,4,36,54,0,0,75,854,17,15
7041670,mbed-os-5.4.0,305f5c491e34d86098e9da91b322017549c189ff,2017-03-05 23:03:02,6,15,40,0,8,0,19,5,0,0,20,135,8,6
8012337,mbed-os-5.4.1,f4864dc6429e1ff5474111d4e0f6bee36a759b1c,2017-03-13 19:44:45,7,29,95,5,12,0,22,31,0,0,49,424,11,7
8012322,mbed-os-5.4.2,50b3418e45484ebf442b88cd935a2d5355402d7d,2017-03-29 13:58:25,15,41,165,5,17,1,57,38,0,0,68,626,25,15
8012263,mbed-os-5.4.3,42be5c01a7f91292d5e27124ad9584236025f6ab,2017-04-10 15:14:52,12,38,152,5,19,3,39,32,0,1,65,527,17,12
8012179,mbed-os-5.4.4,ed4febefdede4e88743ca12909b7bc9a3993889a,2017-04-27 12:04:03,16,33,203,8,14,1,53,68,0,3,125,1016,14,14
8012152,mbed-os-5.4.5,8d21974ba35e04c4854e5090c0f8283171664175,2017-05-09 19:57:46,12,34,127,2,14,1,35,27,0,0,60,502,15,14
8012129,mbed-os-5.4.6,5fff7e1daeb395aa3d1ecf3f9ec3f4fead3de0c2,2017-05-25 14:05:18,15,42,231,12,15,1,63,49,0,1,82,864,27,19
8012090,mbed-os-5.4.7,fc1836545dcc2fc86f03b01292b62bf2089f67c3,2017-06-07 14:26:13,13,32,180,8,10,2,72,62,0,0,80,1236,16,9
8011764,mbed-os-5.5.0,3179b1cffddea0f0feed1dd551b0e7dc946c12f5,2017-06-17 23:43:11,10,37,177,2,15,0,61,65,0,2,85,687,9,13
8011983,mbed-os-5.5.1,c9e63f14085f5751ff5ead79a7c0382d50a813a2,2017-06-21 19:20:31,3,14,50,1,5,0,10,15,0,0,21,268,6,3
8011955,mbed-os-5.5.2,8828635da469162cf2854b5287561c663fb96e72,2017-07-05 00:37:33,13,33,196,6,15,1,56,54,0,1,80,782,16,11
8011917,mbed-os-5.5.3,ed9d1da9dd0c43907ba40cba5ebd9f2c6da3dc07,2017-07-17 16:21:06,12,27,164,2,13,1,39,64,0,0,91,931,14,11
8011699,mbed-os-5.5.4,4c256f04596179699c4f14b6863b07cc024ca9be,2017-08-03 00:45:49,16,37,156,6,17,1,52,57,0,1,89,989,19,30
8011656,mbed-os-5.5.5,db4be94693c3a873cfa0c025a5ad2e62b86a8474,2017-08-14 14:10:07,11,29,108,3,12,1,27,22,0,1,31,324,16,15
8011263,mbed-os-5.5.6,98ba8acb83cfc65f30a8a0771a27c71443ab093a,2017-08-29 22:05:59,15,42,201,13,16,4,57,47,0,0,81,837,22,22
7772926,mbed-os-5.5.7,ca661f9d28526ca8f874b05432493a489c9671ea,2017-09-14 14:46:30,15,45,228,6,17,2,71,51,0,3,72,1044,19,15
7912109,mbed-os-5.6.0,5499db1e815b035c2039b6f1e7cbcbf1fd7e0f19,2017-09-23 17:10:56,9,29,117,1,10,1,44,36,0,1,64,555,22,9
7967163,mbed-os-5.6.1,cc7556a92fb9320f4bebb190c6e1315af116c50c,2017-09-27 15:45:48,3,16,43,1,8,0,18,18,0,0,28,304,8,5
8081603,mbed-os-5.6.2,6e0d01cd13e8aca7bf4d697c3699ec9225386881,2017-10-07 01:27:22,9,35,131,4,14,0,35,52,0,1,73,598,14,13
8258291,mbed-os-5.6.3,e62a1b9236b44e70ae3b0902dc538481c04d455b,2017-10-23 18:12:07,16,39,160,5,16,2,61,64,0,0,95,972,35,23
8436636,mbed-os-5.6.4,78474a5129e18e136cc7e872adbaa5b74fbb8f6a,2017-11-06 18:15:06,14,40,159,6,12,0,47,39,0,0,239,1626,20,16
8637068,mbed-os-5.6.5,182bbd51bc8d1b6217477c2b5de3f1d0c5e6249f,2017-11-21 20:41:41,15,38,261,4,15,0,60,73,0,0,102,1248,21,15
8800012,mbed-os-5.6.6,5f6572179d66ce4c09d6517b659ac51133cc980d,2017-12-04 16:55:10,12,46,216,8,19,3,62,52,0,1,81,946,27,19
8961304,mbed-os-5.7.0,8b54959f5bca08a8ad44a701bafd634afbb38b03,2017-12-13 23:14:25,9,34,114,9,11,1,24,28,0,1,49,459,11,11
9041671,mbed-os-5.7.1,2b4ff78ab0a52ef1dc3f2998908453c595e2b2c0,2017-12-21 18:37:32,7,31,104,4,9,1,31,18,0,0,47,481,12,9
9110368,mbed-os-5.7.2,eca67ca7dafab4ef70c21e2463b541132d0dd691,2018-01-03 14:13:52,12,15,54,1,8,0,7,20,0,0,33,422,35,7
9272593,mbed-os-5.7.3,96d9a00d0a1d25095b330095fa81c40f7741777c,2018-01-15 17:30:46,12,34,204,3,12,0,39,58,0,0,81,1043,48,23
9498228,mbed-os-5.7.4,caeaa49d68c67ee00275cece10cd88e0ed0f6ed3,2018-01-30 05:22:46,14,45,389,9,21,4,69,65,0,0,128,1684,24,16
9688115,mbed-os-5.7.5,569159b784f70feaa32ce226aaca896fb83452f7,2018-02-12 23:02:20,13,51,266,7,18,0,65,68,0,0,103,1502,20,13
9871929,mbed-os-5.7.6,91e6db1ea251ffcc973001ed90477f42fdca5751,2018-02-26 16:55:24,13,51,297,7,14,0,86,66,0,1,103,1163,15,8
10257124,mbed-os-5.8.0,ad284b28064b22d7e125bcd83e3b5bf649bc4c37,2018-03-14 14:29:48,15,58,371,7,22,5,77,81,0,1,118,1584,28,18
10149110,mbed-os-5.7.7,16bac101a6b7b4724023dcf86ece1548e3a23cbf,2018-03-15 22:36:03,1,21,51,3,7,0,10,22,0,0,33,346,4,1
10317050,mbed-os-5.8.1,addec7ba10054be03849eff58a1d17f157391e7d,2018-03-27 19:41:03,11,44,228,4,16,1,41,54,0,1,92,1005,19,15
10494077,mbed-os-5.8.2,f9ee4e849f8cbd64f1ec5fdd4ad256585a208360,2018-04-10 16:36:34,13,55,249,6,15,0,54,40,0,1,90,1103,26,23
10711627,mbed-os-5.8.3,c05d72c3c005fbb7e92c3994c32bda45218ae7fe,2018-04-24 13:18:23,13,54,311,2,17,1,86,83,0,4,122,1356,30,15
10922589,mbed-os-5.8.4,ae6c7c60f91c89cbf755a2f3c8ec9c66635849fd,2018-05-07 19:57:26,13,47,280,4,15,0,61,67,0,3,98,1178,28,19
11136527,mbed-os-5.8.5,367dbdf5145f4d6aa3e483c147fe7bda1ce23a36,2018-05-21 14:11:29,13,54,395,4,16,0,63,46,0,0,95,930,17,10
11388435,mbed-os-5.8.6,35fa909641fedcad9bbe0c7300d4ccdf15a2b71a,2018-06-05 18:58:44,15,68,331,9,20,2,105,116,0,2,187,2183,26,15
11460803,mbed-os-5.9.0,866850acc15e86cd4ac11bf4404078a49f921ddd,2018-06-08 21:47:03,3,28,73,5,10,2,30,14,0,1,25,317,8,8
11566364,mbed-os-5.9.1,03196b244ee00fc748cd4dbfa83b26f3fc0f376b,2018-06-16 01:52:13,7,23,134,1,6,1,28,49,0,0,101,996,6,3
11780682,mbed-os-5.9.2,62f8b922b420626514fd4690107aff4188469833,2018-06-30 02:29:53,14,49,290,5,16,2,86,93,0,2,195,1863,17,21
11946992,mbed-os-5.9.3,50bd61a4a72332baa6b1bac6caccb44dc5423309,2018-07-16 11:39:51,16,35,209,4,14,1,71,76,0,3,131,1312,24,24
12216187,mbed-os-5.9.4,485bdeee150e2bc8ed75e27d936060fb63a7a7d1,2018-07-31 00:23:29,14,41,168,3,15,0,71,40,0,3,113,1203,35,26
12413448,mbed-os-5.9.5,f8b140f8d7cb226e41486c5df66ac4f3ce699219,2018-08-14 03:28:27,14,68,297,14,21,6,89,69,0,2,111,1081,23,24
12624905,mbed-os-5.9.6,0fdfcf7350896a9c0b57c4a18237677abfe25f1a,2018-08-24 13:00:14,10,54,294,6,13,0,69,64,0,0,107,1132,23,8
12878061,mbed-os-5.9.7,949cb49ab0a144da0e3b04b6af46db0cd2a20d75,2018-09-10 07:52:09,16,69,352,5,24,2,116,94,0,6,117,1901,102,19
13076361,mbed-os-5.10.0,610e35ddc6d59f153173c1e7b2748cf96d6c9bcd,2018-09-18 13:34:35,8,40,122,5,10,1,65,35,0,3,72,584,9,10
13349747,mbed-os-5.10.1,c53d51fe9220728bf8ed27afe7afc1ecc3f6f5d7,2018-10-08 21:47:44,20,60,365,5,15,1,109,134,0,3,247,2464,40,20
13629040,mbed-os-5.10.2,e1bea44212b8275f7d8ce7253e758c2e25c57482,2018-10-19 22:37:43,11,52,353,3,13,1,103,153,0,1,197,1571,18,13
13874302,mbed-os-5.10.3,bf6f2c3c6434a6de9eb9511feffa5948b3d1f20f,2018-11-06 14:38:36,17,62,386,8,15,1,116,128,0,1,183,1883,34,20
14123013,mbed-os-5.10.4,2fd0c5cfbd83fce62da6308f9d64c0ab64e1f0d6,2018-11-17 07:31:02,10,57,557,9,13,0,98,87,0,1,109,1100,26,15
14612691,mbed-os-5.11.0,6a0a86538c0b9b2bfcc4583b1e2b7fea8f4e71e9,2018-12-13 23:05:50,26,91,824,13,20,3,191,208,0,4,303,2958,49,26
14803099,mbed-os-5.11.1,c966348d3f9ca80843be7cdc9b748f06ea73ced0,2019-01-03 16:00:04,20,59,222,5,18,2,92,78,0,6,124,1207,45,25
15057883,mbed-os-5.11.2,a8f0c33eaa2c52babff9655417c36f4b5edd54d7,2019-01-17 00:33:05,13,69,342,16,22,7,113,99,0,1,140,1274,48,26
15320745,mbed-os-5.11.3,a8d1d26fa76a27263cc9a69f65df45e3458517a5,2019-01-31 16:48:22,14,63,374,8,18,1,116,130,0,7,182,1538,36,16
15536085,mbed-os-5.11.4,ecb3c8c837162c73537bd0f3592c6e2a42994045,2019-02-11 15:56:11,10,49,280,5,13,0,56,48,0,1,83,823,40,7
15567884,mbed-os-5.11.5-alpha,bc132a6066cafdb9e4028251b5aff7cfcbcaa444,2019-02-14 23:47:17,3,33,140,2,10,2,36,47,0,2,68,620,13,7
15809237,mbed-os-5.11.5,51d55508e8400b60af467005646c4e2164738d48,2019-02-25 13:30:01,10,49,298,4,13,2,75,74,0,2,106,1094,43,19
16331267,mbed-os-5.12.0,6bf7fd3ecc601b2b1cf76a198ec55c06815d64c6,2019-03-24 17:04:56,27,103,921,20,24,6,248,239,0,10,316,3190,107,40
16675076,mbed-os-5.12.1,0063e5de32fc575f061244c96ac60c41c07bd2e6,2019-04-08 14:59:25,14,51,258,3,15,1,75,90,0,5,130,1219,27,27
17044002,mbed-os-5.12.2,cfa7938a4dd6d1a4c501945b9c26ca68f70e284e,2019-04-26 14:49:10,17,50,237,6,15,1,104,104,0,10,176,1525,24,20
17223319,mbed-os-5.12.3,0f959dbe4749c20416236e4fe1dac5692cbe18ab,2019-05-07 17:29:07,11,32,112,4,13,0,30,37,0,2,59,568,21,18
17516290,mbed-os-5.12.4,73f096399b4cda1f780b140c87afad9446047432,2019-05-20 17:18:06,12,39,116,8,15,3,45,43,0,5,61,561,24,21
18214523,mbed-os-5.13.0,7482462434d5cf718177653ef797547a976a7c5e,2019-06-25 12:57:59,35,68,445,12,22,2,168,158,0,10,276,2771,70,47
18639666,mbed-os-5.13.1,5941d1718339116cd12914238ec331c84da3d08f,2019-07-15 12:47:53,19,52,317,9,15,1,84,102,0,9,148,1380,38,27
18954211,mbed-os-5.13.2,b81aeff1a3e171c6421984faa2cc18d0e35746c0,2019-07-26 22:24:03,11,34,129,6,12,0,32,33,0,4,51,368,26,13
19310083,mbed-os-5.13.3,808c45062f940790e1287bd6b8420290c062775c,2019-08-14 13:55:15,18,47,187,10,20,5,75,56,0,1,133,1010,55,32
19594491,mbed-os-5.13.4,1bf6b20df9d3cd5f29f001ffc6f0d0fcbbb96118,2019-08-26 12:03:59,11,49,244,7,14,1,78,69,0,1,102,852,21,14
20183431,mbed-os-5.14.0,b6e5a0a8afa34dec9dae8963778aebce0c82a54b,2019-09-20 10:44:58,24,64,493,7,17,2,149,165,0,8,233,2376,37,45
20783000,mbed-os-5.14.1,679d24833acf0a0b5b0d528576bb37c70863bc4e,2019-10-17 01:08:49,26,55,311,4,14,1,116,101,0,6,136,1131,89,42
21657200,mbed-os-5.14.2,cf4f12a123c05fcae83fc56d76442015cb8a39e9,2019-11-20 18:13:16,34,62,447,9,18,1,140,171,0,19,415,3865,59,36
22318621,mbed-os-5.15.0,64853b354fa188bfe8dbd51e78771213c7ed37f7,2019-12-17 03:46:35,26,57,379,14,16,2,138,129,0,9,178,1455,39,34
22863575,mbed-os-6.0.0-alpha1,430e64fce8098fd5e54f6de32f3f029f35dc705f,2020-01-14 20:04:27,28,48,282,5,16,2,109,104,0,5,143,1241,52,29
23529452,mbed-os-5.15.1,e642a7d8b3609a7c903e042cd772f00a5d299088,2020-02-07 19:15:43,23,47,319,8,14,2,98,115,0,6,144,1317,19,25
23803105,mbed-os-6.0.0-alpha-2,c12b433026beae5b3b769c27941bc6d7fe5d4b27,2020-02-17 16:37:36,9,25,137,5,11,3,48,41,0,1,54,372,16,17
24629743,mbed-os-6.0.0-alpha-3,532654ebb31c7bf79601042a6fa976b85532ef47,2020-03-13 15:08:13,24,44,400,3,17,2,117,118,0,14,169,1529,47,37
25525404,mbed-os-5.15.2,565ab149819481224ab43f878c3921b14b11d180,2020-04-09 22:53:24,27,56,348,9,19,3,115,99,0,13,148,1792,37,29
26040517,mbed-os-5.15.3,b6370b4c37f3d4665ed1cdcb1afea85396bba1b3,2020-04-27 19:39:04,17,30,220,2,10,2,48,67,0,9,115,1019,30,24
26374972,mbed-os-6.0.0-beta-1,1b2a68ae204b70a7aaf3818dc8fa3881250b13b0,2020-05-07 23:32:37,10,21,100,3,8,2,37,33,0,5,57,705,22,7
27170657,mbed-os-6.0.0,165be79392ae7b1bee4388d2bc8ed8281978f07c,2020-06-02 17:47:21,25,36,217,2,12,0,70,56,0,13,91,948,31,30
27591847,mbed-os-5.15.4,e4b81f67f939a0c0b11c147ce74aa367271e1279,2020-06-17 12:12:48,14,18,179,2,5,0,28,63,0,16,103,874,85,14
27922810,mbed-os-6.1.0,a6207cadad0acd1876f436dc6baeddf46c42af06,2020-06-24 19:41:27,7,21,62,2,8,0,18,25,0,14,46,450,27,15
28631489,mbed-os-6.2.0,a2ada74770f043aff3e61e29d164a8e78274fcd4,2020-07-15 13:47:30,20,22,117,2,7,1,54,40,0,15,98,556,33,20
29609631,mbed-os-5.15.5,6a244d7adffc0e93872cfc880e539ee11bbc6002,2020-08-12 15:45:01,28,29,184,6,10,1,58,61,0,23,132,1199,98,31
29867053,mbed-os-6.2.1,890f0562dc2efb7cf76a5f010b535c2b94bce849,2020-08-18 13:17:53,5,10,32,1,5,1,17,13,0,13,24,258,10,4
